harari_latin,english,category,notes
mitfardd,legal procedure,noun,legal term
fordi,judgement,noun,legal term
firdi gar,court,noun,lit. 'the house of the judgement'
farid,bravo!,exclamation,from Arabic farid 'unique excellent matchless'
fardi,moral duty; religious obligation,noun,from Arabic fard
firaifira,crumble into small pieces,verb,Semitic root
firfir baya,be in convulsions (an animal having been shot or slaughtered),verb,
sanfirgig asa,smile slightly,verb,lit. probably 'make the teeth appear'
tafragata,struggle,verb,
faragat,relief; state of happiness (especially after restriction),noun,from Arabic farag
afaraha,satisfy; cause to be happy,verb,probably from Arabic 'afraha 'make happy'
foraha,search everywhere; question persistently; examine thoroughly; investigate thoroughly,verb,
fuddi forhi,worm of small children; a person who wants to know things that do not concern him,noun,lit. 'that which searches the anus'
fairaka,can; be able,verb,
tafardka,can; be able; be possible for someone,verb,
altifairakkam,be impossible,verb,
fren,brake,noun,from French frein or Italian freno
fren lahada,apply the brakes,verb phrase,
farangi,European,noun,from 'Frank' = 'Ferengi'
faraqa,turn,noun,
faraga faraga-le,in turns,adverb,
farqi,distance,noun,from Arabic farq
forroqe,man who lost his front teeth,noun,from Galla forge
farar,kind of earring,noun,from Galla faror
atfirara,threaten; frighten,verb,
afrava,threaten; frighten,verb,
aforara,throw something when effort is implied and usually for a long distance,verb,
faris,wise; native doctor who heals mainly dislocated bones,noun,from Arabic faris
fursux,peach,noun,from Arabic firsik from Latin persicum
forak,mattress,noun,from Arabic fira'
farat,fear; awe,noun,
farattu,fearful,adjective,
fareta,burst (a wound of which the liquid or pus comes out),verb,
faraz,horse,noun,Gurage faraz
faraz-be lefa,ride,verb phrase,lit. 'go by horse'
anasti faraz,mare,noun,lit. 'female horse'
faraz gar,stable,noun,lit. 'house of horse'
faraz mahawa,horse ornaments,noun,
farazivina,horseman,noun,
farzi,ration to which one is entitled,noun,from Arabic faraza 'prescribe'
fis asa,fart (verb),verb,
fis,fart (noun),noun,Semitic Arabic fasa
fissow ziygatri,who gossips,noun,lit. 'who does not tie his fart'
fasli,class; classroom,noun,from Arabic fasl
fisqi,corruption,noun,from Arabic fisq
fit,face,noun,Semitic
fit-be,in front,preposition,
fit lafit,face to face,adverb,
fitan fit,face to face,adverb,
fit hega,show favor; be partial,verb phrase,lit. 'look at the face'
fit agofala,veil,verb phrase,lit. 'close the face'
fisso gimiir asa,frown,verb phrase,lit. 'wrinkle up the face'
ftah,ceremony in which the recitation of prayers is an essential part,noun,from Arabic al-fatiha
fatah asa,recite chapters of prayers,verb phrase,
wahiri fatah,death commemoration after forty days,noun,
fataha,untie; untwist; unload; set free; divorce; absolve,verb,Semitic and Ethiopic fth 'open loosen'
gan fitaha,foot the bill; steal someone's money,verb phrase,
tafataha,be divorced,verb,
miftah,key,noun,
fatah baya,move aside,verb,from 'open loosen'
falak fatap-le,at a distance,adverb,
afatala,spin,verb,Semitic Arabic fatala 'spin'
fitli,thread,noun,
fattal,procurer,noun,from Arabic (Yemenite) fattal
fattis asa,examine,verb,from Arabic fattasa
fatit,rope; cord,noun,from root ftl 'spin'
fata,pole with bifurcation on the top serving as support,noun,also in Galla fafa
fitta,cricket,noun,perhaps Amharic fenfa 'grasshopper'
fota,shawl,noun,from Arabic futa of Sanskrit origin
fota bay,kind of woman's dress,noun,
fatina,be fast; be quick; be rapid,verb,
atein baya,be fast; be quick; be rapid,verb,
fatin,fast; quick; rapid,adjective,
fatin-be,fast; soon; rapidly,adverb,
fatana,scatter small objects; comb,verb,
filtit asa,scatter small objects,verb,
fittit asa,scatter small objects,verb,
fatara,break the fast,verb,from Arabic fatara
af fatira,eat,verb phrase,lit. 'the mouth has broken the fast'
afatara,feed; give to eat,verb,
futura,light meal in the morning; tasty dish sold during Ramadan,noun,from Arabic futir
afaya,be satisfied,verb,
afoya,be settled down,verb,
foy,pelvic region; lap,noun,
fayda,profit; advantage,noun,from Arabic faida
fayda asa,profit (verb),verb,
fayda zal-ba,profitable,adjective,lit. 'in which there is profit'
fiz,stone of finger ring,noun,from Arabic fass of Greek origin
fiz baya,be straight; be upright (physically and morally); be straightened out,verb,
fiz,straight; straightened,adjective,
fiz asa,straighten out,verb,
fiz-be,very; very much; quite; thoroughly,adverb,probably connected with fiz 'straight'
fizaza,stare,verb,
ge,the city of Harar; city; side of,noun,
ge sinan,the language of Harar,noun,
ge uswi,inhabitant of Harar; people (in general),noun,lit. 'man of the city of Harar'
ge-uswi,a Harari (not a Galla nor an Amhara),noun,difference of meaning expressed by accent
ge gar,house built in the Harari style,noun,
ge haleyta,cap of Harari style sewn on the machine,noun,
ge salda,local razor,noun,
ge lemad,a person assimilated to the way of life of the Harari,noun,
ge beletu,the period of two or three months preceding the period of Ramadan,noun,most marriage festivities take place during this period
ge iwaz,black dress worn by women over the ordinary dress when they go out,noun,also called fay iwaz
ge elad,kind of flower,noun,lit. 'the elad-flower of the city of Harar'
ge muz,banana,noun,lit. 'banana of Harar'
abba ge,boss,noun,
hamati ge,relatives through marriage,noun,
uris ge,head of the bed,noun,
uris ge ahli,relatives on the father's side,noun,lit. 'relatives of the side of the head'
ingir ge ahli,relatives on the mother's side,noun,lit. 'relatives on the side of the foot'
quran ge,school,noun,lit. 'place of the Koran'
ge quran ge,Koran school,noun,lit. 'school of Harar'
igi-ge,sleeve,noun,lit. 'side of the hand'
gab,cave,noun,Geez gab 'pit hole'
geb,jar of clay serving for drinking,noun,
tageba,sit,verb,abbreviated form of tagabala
taziya tegeba,mourn,verb phrase,lit. 'sit for the mourning'
gub baya,envelop; be all over (fog locust enemy etc.),verb,
gaba'a,return home; live; reside,verb,Ethiopic root gb' 'return'
agaba,bring home,verb,
hamdi agaba,to thank,verb phrase,lit. 'return thanks'
aruz agaba'a,bring the bride into the bridal house,verb phrase,
aruz megba',the process of bringing the bride to the new home,noun,
giba' biya,give gat or incense to the sex or to the head of the holy shrine to ask for his blessing,verb phrase,
gabaiti,gat or incense given to the sex or to the head of the holy shrine to ask for his blessing,noun,
tagebala,sit down; stay,verb,
atgebala,employ; hire; cause to sit; purge,verb,lit. 'make sit down'
marhabba-be tigabala,sit with crossed legs; sit restfully,verb phrase,lit. 'sit in a way of welcome'
sango tegebala,sit in a group and chat,verb phrase,
gibitita,attack by a group of people,verb,
gabar,inner lining of cloth,noun,
galla gabar,ignorant,adjective,perhaps lit. 'a Galla who is like gabar'
agabara,tame,verb,
gabbar,vassal,noun,Semitic Arabic gabara 'force'
gabbarnat,vassalship,noun,
gabara,give an amount of money or cloth to the bride at the conclusion of the engagement,verb,said of the bridegroom
geber kafala,pay taxes,verb phrase,from Amharic gebr 'taxes'
agabira,appear in a majestic way (f. in. a person dressed in his best cloth),verb,
waliri agabirti,the moon is in the 15th day,verb phrase,lit. 'the moon appears at its best'
gabardin,kind of cloth,noun,from French gabardine
gabata,eating bowl serving for one member of the family or for the whole family,noun,Amharic gabeta 'flat dish'
quran gabata,large wooden bowl used for serving food on special occasions; food presented in the gabeta-bowl,noun,lit. 'the bowl of the Koran'
indy gabata,special food sent by the bride's mother to the bride on the third day of the wedding,noun,lit. 'the bowl of the matron'
gabata lakhasa,ring finger,noun,lit. 'that which licks the table'
gabatti,gat or incense given to the sex or to the head of the holy shrine to ask for his blessing,noun,
gabti,door panel; door,noun,probably from Ethiopic root gb' 'return enter'
gabti ahar naddaba,raised seat to the left,noun,lit. 'raised seat behind the door panel'
gabti ahar taqet,niche to the left of the door,noun,lit. 'the niche behind the door panel'
gabita,try; attempt; test; make an effort; endeavour to do something,verb,
tagida,collide; clash,verb,probably denominative of Ethiopic gas 'face'
guc,the knob of the club,noun,probably from Galla buc
gadu,pit; hole in the ground,noun,from root gdd 'dig make a hole'
oxi gadu,granary dug in the ground,noun,lit. 'pit (for) cereal'
mi gadu,well,noun,lit. 'pit (for) water'
gadu indi,log that is used to cover the granary,noun,lit. 'the wood of the granary'
gadi,rope made of leather serving to tie the cow when she is milked,noun,
gud,strange; extraordinary,adjective,
gadab,raised ground serving to keep the water around the plantation,noun,from Galla gadab
gadab gaddala,lazy person,noun,lit. 'who kills the gadab'
gadada,lack,verb,Amharic gadada 'be necessary miss'
gadd,stubborn,adjective,Amharic agadada 'refuse resist'
gadid,fresh,adjective,from Arabic jadid 'new'
gaddafa,danger; misfortune,noun,from Galla gaddafa 'danger'
gaddafa asa,endanger,verb,
guduf,place where rubbish is placed,noun,Geez guadof 'cast out things'
gidagad,wall,noun,
giddag,need; necessity,noun,from Amharic gaddaf 'affair need'
gidig,eyebrow,noun,
gadala,kill,verb,Ethiopic gdl
tagadala,fight; quarrel (verb),verb,
matgadal,fight (noun),noun,
qumay gaddala,thumb,noun,lit. 'that which kills the lice'
tif gaddala,sling used for killing birds,noun,lit. 'that which kills birds'
gaddali,generous,adjective,
gadamu,kind of antelope,noun,from Cushitic Galla gaddamsu
gudmiri,the first wife; the first husband,noun,
gudunfa,thing carried in a bundle and tied by a knot,noun,from Galla gudunfa
gadira,become great (physically and morally),verb,
agaddra,honor; celebrate; respect; value,verb,
