harari_latin,english,category,notes
-(be) bayti,because of,preposition,
-(le) bayti,because of,preposition,
-a,and,conjunction,used if two terms are in common semantic sphere
-al,there is; he is,verb,copula
-bah,with; together with,postposition,
-be,with; from; by; of; in; on; at; than; rather than,preposition,
-be huluf,more than,preposition,lit. 'passed in relation to'
-be megel,since,preposition,
-be titmeleka,depend on,verb phrase,
-bila,without; except; unless,preposition,from Arabic
-bilay,without; except; unless,preposition,
-de,to; toward,preposition,Cushitic element
-dile,to or toward or from,preposition,
-ew,oh! (used with feminine),interjection,
-fani,toward or to,preposition,
-it,only,suffix,
-ka,indeed,particle,enclitic
-ku,in ayhu-be 'how?',particle,
-lal-,is not,verb,relative negative of verb to be
-le,"to, for, in order that",preposition,
-m,"as to, indeed",suffix,
-mami,even if / even though,conjunction,with preceding jussive
-mat,if only!,particle,exclamation
-ow,oh! (used with masculine after consonant),interjection,
-qada,while (preceded by the imperfect),conjunction,
-qessi,until (conj.); while,conjunction,
-traf,along,suffix,
-wa,and,conjunction,
-x,as to,suffix,
-yew,oh! (used with feminine after vowel),interjection,
-yow,oh! (used with masculine after vowel),interjection,
'ddd ahli,relatives by friendship,noun,family relationship
(a)batala,abolish,verb,from Arabic
(a)berasa,profane; abolish the effect of something,verb,
(a)bsena,twist two threads between the palms of the hands,verb,
(a)ceha,spread something in sun to dry it,verb,
(a)ceraqa,hold someone tight at neck so as to choke,verb,
(a)cimalaga,spoil by dirtying or smearing,verb,
(a)mdalata,escape,verb,
(a)wdzaa,perspire,verb,
(ad)dabaqa,fill utensil by immersing it so it makes bubbling sound,verb,
(as)centiga,oppress; bother; annoy,verb,
(is)balat,different; separate,adjective,
(isi) ad,inside of the hand,noun,called so because inside of hand is open like a threshing field
(ta)betena,be scattered,verb,
(ta)btatana,disperse,verb,
(ta)cenaga,worry; get worried,verb,
(ta)xetala,follow,verb,
(te)balala,hurry; be in a hurry,verb,
a%a'ib,splendid; extraordinary,adjective,from Arabic
aad marbab,light rain during the rainy season,noun,lit. that which waters the threshing field
ab,disgrace,noun,from Arabic ayb
aba'ara,make deep,verb,causative
abad,never,adverb,see abadan
abadan,never,adverb,from Arabic
abahara,stop struggling (cattle) after it is slaughtered,verb,
abala,where is he?,phrase,interrogative
abaliha,sharpen the edge,verb,causative
abar,famine,noun,connected with root for dry
abarera,be free and independent (young boy reaching puberty),verb,
abasuqa,soak,verb,causative
abat,yard; court-yard; compound,noun,also in Cushitic
abba,elder brother; form of address to father or older brother or male person older than speaker,noun,also any young man acting as brother to bride during wedding
abba ge,boss,noun,
